IGNORED        tests/basic_correctness/test_basic_correctness.py::test_models[True-uni-False-False-5-FLASH_ATTN-meta-llama/Llama-3.2-1B-Instruct] (gpu=0, Nonems, exit=0)
IGNORED        tests/basic_correctness/test_basic_correctness.py::test_models_distributed[True-facebook/opt-125m-mp--L4-extra_env3] (gpu=0, Nonems, exit=1)
IGNORED        tests/basic_correctness/test_basic_correctness.py::test_models_distributed[True-meta-llama/Llama-3.2-1B-Instruct-ray--L4-extra_env4] (gpu=1, Nonems, exit=1)
IGNORED        tests/basic_correctness/test_basic_correctness.py::test_models_distributed[True-meta-llama/Llama-3.2-1B-Instruct-mp--L4-extra_env5] (gpu=2, Nonems, exit=1)
IGNORED        tests/basic_correctness/test_basic_correctness.py::test_models_distributed[True-facebook/opt-125m-ray--A100-extra_env6] (gpu=3, Nonems, exit=1)
IGNORED        tests/basic_correctness/test_basic_correctness.py::test_models_distributed[True-facebook/opt-125m-mp--A100-extra_env7] (gpu=4, Nonems, exit=1)
IGNORED        tests/basic_correctness/test_basic_correctness.py::test_models_distributed[False-facebook/opt-125m-ray--L4-extra_env0] (gpu=5, Nonems, exit=1)
IGNORED        tests/basic_correctness/test_basic_correctness.py::test_models_distributed[False-facebook/opt-125m-mp--L4-extra_env1] (gpu=6, Nonems, exit=1)
IGNORED        tests/basic_correctness/test_basic_correctness.py::test_models_distributed[False-facebook/opt-125m-ray--L4-extra_env2] (gpu=7, Nonems, exit=1)
IGNORED        tests/basic_correctness/test_basic_correctness.py::test_models_distributed[False-facebook/opt-125m-mp--L4-extra_env3] (gpu=0, Nonems, exit=1)
IGNORED        tests/basic_correctness/test_basic_correctness.py::test_models_distributed[False-meta-llama/Llama-3.2-1B-Instruct-ray--L4-extra_env4] (gpu=1, Nonems, exit=1)
IGNORED        tests/basic_correctness/test_basic_correctness.py::test_models_distributed[False-meta-llama/Llama-3.2-1B-Instruct-mp--L4-extra_env5] (gpu=2, Nonems, exit=1)
IGNORED        tests/basic_correctness/test_basic_correctness.py::test_models_distributed[False-facebook/opt-125m-ray--A100-extra_env6] (gpu=3, Nonems, exit=1)
IGNORED        tests/basic_correctness/test_basic_correctness.py::test_models_distributed[False-facebook/opt-125m-mp--A100-extra_env7] (gpu=4, Nonems, exit=1)
IGNORED        tests/basic_correctness/test_basic_correctness.py::test_failed_model_execution (gpu=5, Nonems, exit=1)
IGNORED        tests/basic_correctness/test_cpu_offload.py::test_cpu_offload (gpu=6, Nonems, exit=1)
IGNORED        tests/basic_correctness/test_cumem.py::test_python_error (gpu=7, Nonems, exit=1)
IGNORED        tests/basic_correctness/test_cumem.py::test_basic_cumem (gpu=0, Nonems, exit=1)
IGNORED        tests/basic_correctness/test_cumem.py::test_cumem_with_cudagraph (gpu=1, Nonems, exit=1)
IGNORED        tests/basic_correctness/test_cumem.py::test_end_to_end[hmellor/tiny-random-LlamaForCausalLM] (gpu=2, Nonems, exit=1)
IGNORED        tests/basic_correctness/test_cumem.py::test_end_to_end[facebook/opt-125m] (gpu=3, Nonems, exit=1)
IGNORED        tests/basic_correctness/test_cumem.py::test_deep_sleep (gpu=4, Nonems, exit=1)
IGNORED        tests/basic_correctness/test_cumem.py::test_deep_sleep_async (gpu=5, Nonems, exit=1)
IGNORED        tests/basic_correctness/test_cumem.py::test_deep_sleep_fp8_kvcache (gpu=6, Nonems, exit=1)
IGNORED        tests/benchmarks/test_latency_cli.py::test_bench_latency (gpu=7, Nonems, exit=1)
IGNORED        tests/benchmarks/test_plot_filters.py::TestPlotFilters::test_equal_to_numeric[5.0-1] (gpu=0, Nonems, exit=1)
IGNORED        tests/benchmarks/test_plot_filters.py::TestPlotFilters::test_equal_to_numeric[10.0-1] (gpu=1, Nonems, exit=1)
IGNORED        tests/benchmarks/test_plot_filters.py::TestPlotFilters::test_equal_to_numeric[1.0-1] (gpu=2, Nonems, exit=1)
IGNORED        tests/benchmarks/test_plot_filters.py::TestPlotFilters::test_equal_to_inf_float (gpu=3, Nonems, exit=1)
IGNORED        tests/benchmarks/test_plot_filters.py::TestPlotFilters::test_not_equal_to_numeric[5.0-4] (gpu=4, Nonems, exit=1)
IGNORED        tests/benchmarks/test_plot_filters.py::TestPlotFilters::test_not_equal_to_numeric[1.0-4] (gpu=5, Nonems, exit=1)
IGNORED        tests/benchmarks/test_plot_filters.py::TestPlotFilters::test_not_equal_to_inf_float (gpu=6, Nonems, exit=1)
IGNORED        tests/benchmarks/test_plot_filters.py::TestPlotFilters::test_less_than[10.0-2] (gpu=7, Nonems, exit=1)
IGNORED        tests/benchmarks/test_plot_filters.py::TestPlotFilters::test_less_than[50.0-3] (gpu=0, Nonems, exit=1)
IGNORED        tests/benchmarks/test_plot_filters.py::TestPlotFilters::test_less_than[5.0-1] (gpu=1, Nonems, exit=1)
